,名称,类别,申报单位,保护单位
200,羌戈大战,新增项目,四川省汶川县,汶川县文化馆
201,恰克恰克,新增项目,新疆维吾尔自治区伊宁市,伊宁市文化馆
202,酉阳古歌,新增项目,重庆市酉阳土家族苗族自治县,酉阳土家族苗族自治县文化馆（酉阳土家族苗族自治县文化生态保护中心、酉阳土家族苗族自治县非物质文化遗产保护中心）
203,谚语（沪谚）,新增项目,上海市闵行区,上海市闵行区浦江镇文化体育事业发展中心
204,谚语（陕北民谚）,扩展项目,陕西省榆林市,榆林市公共文化服务中心（榆林市博物馆、榆林市图书馆、榆林市文化馆）
205,谚语（哈萨克族谚语）,扩展项目,新疆维吾尔自治区伊犁哈萨克自治州特克斯县,特克斯县文化馆
206,卢沟桥传说,新增项目,北京市丰台区,北京市丰台区文化馆
207,鬼谷子传说 ,新增项目,河北省临漳县,临漳县文化馆
208,东海孝妇传说,新增项目,江苏省连云港市,连云港市孝文化研究会
209,刘阮传说,新增项目,浙江省天台县,台州市天台山文化研究会
210,孔雀东南飞传说,新增项目,安徽省怀宁县,怀宁县文化馆
211,孔雀东南飞传说,新增项目,安徽省潜山县,潜山市文化馆
212,老子传说,新增项目,安徽省涡阳县,涡阳县文化馆
213,老子传说,新增项目,河南省灵宝市,灵宝市文化馆
214,陈三五娘传说,新增项目,福建省泉州市洛江区,泉州市洛江区文化馆
215,胡峄阳传说,新增项目,山东省青岛市城阳区,青岛城阳流亭峄阳文化园
216,孟母教子传说,新增项目,山东省邹城市,邹城市文化旅游公共服务中心（邹城市图书馆、邹城市文化馆）
217,河图洛书传说,新增项目,河南省洛阳市,洛阳市文化馆（洛阳市非物质文化遗产保护中心）
218,杞人忧天传说,新增项目,河南省杞县,杞县人民文化馆（杞县送戏下乡艺术团）
219,三国传说,新增项目,湖北省,湖北省群众艺术馆（湖北省非物质文化遗产保护中心）
220,伯牙子期传说,新增项目,湖北省武汉市,武汉市群众艺术馆
221,尹吉甫传说,新增项目,湖北省房县,房县文化馆
222,苏仙传说,新增项目,湖南省郴州市苏仙区,郴州市苏仙区文化馆
223,毕阿史拉则传说,新增项目,四川省金阳县,金阳县文化馆
224,仓颉传说,新增项目,陕西省洛南县,洛南县文化馆
225,仓颉传说,新增项目,陕西省白水县,白水县文化馆
226,骆驼泉传说,新增项目,青海省循化撒拉族自治县,循化撒拉族自治县文化馆
227,回族民间故事,新增项目,宁夏回族自治区泾源县,泾源县文化馆
228,广禅侯故事,新增项目,山西省阳城县,阳城县文化馆
229,解缙故事,新增项目,江西省吉水县,吉水县文化馆
230,壮族百鸟衣故事,新增项目,广西壮族自治区横县,横县文化馆（横县非物质文化遗产保护中心）
231,阿凡提故事,新增项目,新疆维吾尔自治区喀什地区,喀什地区文化馆
232,广阳镇民间故事,新增项目,重庆市南岸区,重庆市南岸区文化馆
233,西王母神话,新增项目,新疆维吾尔自治区阜康市,新疆天池管理委员会（新疆天山天池风景名胜区管理委员会、新疆天池博格达峰自然保护区管理局）
234,盘王大歌,新增项目,湖南省江华瑶族自治县,江华瑶族自治县文化馆
235,玛牧,新增项目,四川省喜德县,喜德县文化馆（喜德县美术馆）
236,黑白战争,新增项目,云南省丽江市古城区,古城区非物质文化遗产保护管理中心
237,祁家延西,新增项目,青海省互助土族自治县,互助土族自治县文化馆
238,常山喝彩歌谣,新增项目,浙江省常山县,常山县文化馆
239,八大处传说,新增项目,北京市石景山区,北京市八大处公园管理处
240,玄奘传说,新增项目,河南省洛阳市偃师区,洛阳市偃师区人民文化馆
241,女娲传说,新增项目,湖北省十堰市竹山县,竹山县文化馆
242,老司城传说,新增项目,湖南省湘西土家族苗族自治州永顺县,永顺县非物质文化遗产保护中心
243,珠玑巷人南迁传说,新增项目,广东省韶关市南雄市,南雄市非物质文化遗产传承保护中心
244,张骞传说,新增项目,陕西省汉中市城固县,城固县文化馆
245,藏族民间传说（年保玉则传说）,新增项目,青海省果洛藏族自治州久治县,久治县文化馆
246,鄂温克族民间故事,新增项目,内蒙古自治区呼伦贝尔市鄂温克族自治旗,鄂温克族自治旗文化旅游事业发展中心（鄂温克族自治旗文化馆、鄂温克族自治旗非物质文化遗产保护中心）
247,包公故事,新增项目,安徽省合肥市,合肥市文化馆
248,仫佬族古歌,新增项目,广西壮族自治区河池市罗城仫佬族自治县,罗城仫佬族自治县文化馆
249,巴狄雄萨滚,新增项目,贵州省铜仁市松桃苗族自治县,松桃苗族自治县文化馆
250,都玛简收,新增项目,云南省红河哈尼族彝族自治州绿春县,绿春县文化馆（绿春县非物质文化遗产保护中心）
251,左权开花调,新增项目,山西省左权县,左权县人民文化馆
252,河曲民歌,新增项目,山西省河曲县,河曲县宣传事务中心
253,蒙古族长调民歌,新增项目,内蒙古自治区,内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）
254,蒙古族长调民歌,扩展项目,新疆维吾尔自治区巴音郭楞蒙古自治州,新疆巴音郭楞蒙古自治州文化馆
255,蒙古族长调民歌,扩展项目,新疆维吾尔自治区和布克赛尔蒙古自治县,和布克赛尔蒙古自治县非物质文化遗产保护中心
256,蒙古族长调民歌（巴尔虎长调）,扩展项目,内蒙古自治区新巴尔虎左旗,新巴尔虎左旗文化馆（新巴尔虎左旗美术馆、新巴尔虎左旗非物质文化遗产保护中心）
257,蒙古族长调民歌（乌珠穆沁长调）,扩展项目,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,西乌珠穆沁旗文化旅游事业发展中心
258,蒙古族呼麦,新增项目,内蒙古自治区,内蒙古自治区艺术研究院（内蒙古自治区非物质文化遗产保护中心）
259,蒙古族呼麦,扩展项目,新疆维吾尔自治区阿勒泰地区,阿勒泰市文化馆（阿勒泰市非物质文化遗产保护中心、阿勒泰市美术馆）
260,当涂民歌,新增项目,安徽省马鞍山市,当涂县文化馆
261,巢湖民歌,新增项目,安徽省巢湖市,巢湖市文化馆
262,畲族民歌,新增项目,福建省宁德市,宁德市艺术馆
263,畲族民歌,扩展项目,浙江省景宁畲族自治县,景宁畲族自治县文物和非遗保护中心
264,畲族民歌,扩展项目,浙江省泰顺县,泰顺县非物质文化遗产保护中心（泰顺县廊桥申遗和保护研究中心）
265,兴国山歌,新增项目,江西省兴国县,兴国县文化馆
266,兴山民歌,新增项目,湖北省兴山县,兴山县文化馆
267,桑植民歌,新增项目,湖南省桑植县,桑植县非物质文化遗产保护中心
268,梅州客家山歌,新增项目,广东省梅州市,梅州市文化馆（梅州市非物质文化遗产保护中心）
269,中山咸水歌,新增项目,广东省中山市,中山市文化馆
270,崖州民歌,新增项目,海南省三亚市,三亚市群众艺术馆
271,崖州民歌,扩展项目,海南省乐东黎族自治县,乐东黎族自治县文化馆
272,儋州调声,新增项目,海南省儋州市,儋州市文化馆
273,石柱土家啰儿调,新增项目,重庆市石柱土家族自治县,石柱土家族自治县文化生态保护管理中心
274,巴山背二歌,新增项目,四川省巴中市,巴中市文化馆
275,傈僳族民歌,新增项目,云南省怒江傈僳族自治州,怒江傈僳族自治州文化馆
276,傈僳族民歌,新增项目,云南省泸水县,泸水市文化馆
277,紫阳民歌,新增项目,陕西省紫阳县,紫阳县文化馆
278,裕固族民歌,新增项目,甘肃省肃南裕固族自治县,肃南裕固族自治县非物质文化遗产保护传承中心
279,花儿（莲花山花儿会）,新增项目,甘肃省康乐县,康乐县文化馆
280,花儿（松鸣岩花儿会）,新增项目,甘肃省和政县,和政县文化馆
281,花儿（二郎山花儿会）,新增项目,甘肃省岷县,岷县文化馆
282,花儿（老爷山花儿会）,新增项目,青海省大通回族土族自治县,大通回族土族自治县文化馆
283,花儿（丹麻土族花儿会）,新增项目,青海省互助土族自治县,互助土族自治县文化馆
284,花儿（瞿昙寺花儿会）,新增项目,青海省乐都县,海东市乐都区文化馆
285,花儿（七里寺花儿会）,新增项目,青海省民和回族土族自治县,民和回族土族自治县文化馆
286,花儿（宁夏回族山花儿）,新增项目,宁夏回族自治区,宁夏回族自治区文化馆（宁夏回族自治区非物质文化遗产保护中心、宁夏回族自治区展览馆）
287,花儿（新疆花儿）,扩展项目,新疆维吾尔自治区昌吉回族自治州,乌鲁木齐市米东区文化馆
288,花儿（新疆花儿）,扩展项目,新疆维吾尔自治区巴音郭楞蒙古自治州,焉耆回族自治县文化馆
289,花儿（张家川花儿）,扩展项目,甘肃省张家川回族自治县,张家川回族自治县文化馆
290,藏族拉伊,新增项目,青海省海南藏族自治州,海南藏族自治州文化馆（海南藏族自治州非物质文化遗产传承保护中心）
291,藏族拉伊（那曲拉伊）,扩展项目,西藏自治区那曲地区,西藏那曲市群众艺术馆
292,聊斋俚曲,新增项目,山东省淄博市,淄川区聊斋俚曲艺术团
293,靖州苗族歌鼟,新增项目,湖南省靖州苗族侗族自治县,靖州苗族侗族自治县博物馆（靖州苗族侗族自治县非物质文化遗产保护中心）
294,川江号子,新增项目,重庆市,重庆市文化研究院（重庆市非物质文化遗产保护中心、重庆市文化行业特有工种职业技能鉴定站）
295,川江号子,新增项目,四川省,四川省艺术研究院
296,南溪号子,新增项目,重庆市黔江区,重庆市黔江区文化生态保护管理中心
297,木洞山歌,新增项目,重庆市巴南区,重庆市巴南区木洞镇文化服务中心
298,川北薅草锣鼓,新增项目,四川省青川县,青川县文化馆
299,薅草锣鼓（武宁打鼓歌）,扩展项目,江西省武宁县,武宁县文化旅游发展中心
300,薅草锣鼓（宜昌薅草锣鼓）,扩展项目,湖北省宜昌市,宜昌市夷陵区文化馆
301,薅草锣鼓（五峰土家族薅草锣鼓）,扩展项目,湖北省五峰土家族自治县,五峰土家族自治县文化馆
302,薅草锣鼓（兴山薅草锣鼓）,扩展项目,湖北省兴山县,兴山县文化馆
