,名称,类别,申报单位,保护单位
3055,胡庆余堂中药文化,新增项目,浙江省杭州市,杭州胡庆余堂国药号有限公司
3056,藏医药（甘孜州南派藏医药),新增项目,四川省甘孜藏族自治州,甘孜藏族自治州藏医院（四川省藏医医院，甘孜藏族自治州藏医药研究所）
3057,藏医药（拉萨北派藏医水银洗炼法和藏药仁青常觉配伍技艺）,新增项目,西藏自治区,西藏藏医药大学
3058,藏医药（藏医外治法）,扩展项目,西藏自治区藏医学院,西藏藏医药大学
3059,藏医药（藏医尿诊法）,扩展项目,西藏自治区山南地区藏医院,西藏山南市藏医医院
3060,藏医药（藏医药浴疗法）,扩展项目,青海省藏医院,青海省藏医院
3061,藏医药（甘南藏医药）,扩展项目,甘肃省碌曲县,碌曲县藏医院
3062,藏医药（藏药炮制技艺）,扩展项目,西藏自治区藏医院,西藏自治区藏医院
3063,藏医药（藏药七十味珍珠丸配伍技艺）,扩展项目,西藏自治区藏药厂,西藏甘露藏药股份有限公司
3064,藏医药（藏药珊瑚七十味丸配伍技艺）,扩展项目,西藏自治区雄巴拉曲神水藏药厂,西藏雄巴拉曲神水藏药有限公司
3065,藏医药（藏药阿如拉炮制技艺）,扩展项目,青海省金诃藏药药业股份有限公司,金诃藏药股份有限公司
3066,藏医药（七十味珍珠丸赛太炮制技艺）,扩展项目,青海省金诃藏药药业股份有限公司,金诃藏药股份有限公司
3067,藏医药（藏医骨伤疗法）,扩展项目,云南省迪庆藏族自治州,迪庆州藏医院
3068,藏医药（山南藏医药浴法）,扩展项目,西藏自治区山南地区,西藏山南市藏医医院
3069,藏医药（藏医放血疗法）,扩展项目,青海省,青海省藏医院
3070,藏医药（索瓦日巴——藏医有关生命、健康及疾病的认知与实践）,扩展项目,西藏自治区,西藏自治区群众艺术馆（西藏自治区非物质文化遗产保护中心）
3071,藏医药（藏医脉泻杂炯疗法）,扩展项目,西藏自治区那曲市,西藏那曲索县藏医院
3072,藏医药（尤阙疗法）,扩展项目,青海省海东市循化撒拉族自治县,循化县中藏医院
3073,中医养生（药膳八珍汤）,新增项目,山西省太原市,太原傅山文化产业开发苑
3074,中医养生（灵源万应茶）,新增项目,福建省晋江市,灵源药业有限公司
3075,中医养生（永定万应茶）,新增项目,福建省永定县,永定采善堂制药有限公司
3076,中医养生（中医传统导引法）,扩展项目,北京中医药大学,北京中医药大学
3077,中医养生（二十四节气中医导引养生法）,扩展项目,中国中医科学院,中国中医科学院医学实验中心
3078,传统中医药文化（鹤年堂中医药养生文化）,新增项目,北京鹤年堂医药有限责任公司,北京鹤年堂医药有限责任公司
3079,传统中医药文化（九芝堂传统中药文化）,新增项目,湖南省九芝堂股份有限公司,九芝堂股份有限公司
3080,传统中医药文化（潘高寿传统中药文化）,新增项目,广东省广州潘高寿药业股份有限公司,广州白云山潘高寿药业股份有限公司
3081,传统中医药文化（陈李济传统中药文化）,新增项目,广东省广州陈李济制药厂,广州白云山陈李济药厂有限公司
3082,传统中医药文化（同济堂传统中药文化）,新增项目,贵州省同济堂制药有限公司,国药集团同济堂（贵州）制药有限公司
3083,传统中医药文化（桐君传统中药文化）,扩展项目,浙江省杭州市桐庐县,桐君堂药业有限公司
3084,传统中医药文化（朱丹溪中医药文化）,扩展项目,浙江省金华市义乌市,义乌市中医医院（义乌市中医医院医共体、义乌市朱丹溪中医院）
3085,传统中医药文化（宏济堂中医药文化）,扩展项目,山东省济南市,山东宏济堂制药集团股份有限公司
3086,传统中医药文化（龙山药王医药文化）,扩展项目,湖南省邵阳市新邵县,新邵县文化馆
3087,蒙医药（赞巴拉道尔吉温针、火针疗法）,新增项目,内蒙古自治区,内蒙古自治区国际蒙医医院
3088,蒙医药（蒙医传统正骨术）,扩展项目,内蒙古自治区中蒙医医院,内蒙古自治区国际蒙医医院
3089,蒙医药（蒙医正骨疗法）,扩展项目,内蒙古自治区科尔沁左翼后旗,通辽市蒙医整骨医院
3090,蒙医药（血衰症疗法）,扩展项目,辽宁省阜新蒙古族自治县,阜新蒙古族自治县蒙医医院
3091,蒙医药（科尔沁蒙医药浴疗法）,扩展项目,内蒙古自治区科尔沁右翼中旗,科尔沁蒙医文化研究会
3092,蒙医药（蒙医乌拉灸术）,扩展项目,内蒙古自治区通辽市,内蒙古自治区通辽市蒙医研究所（通辽市蒙医医院）
3093,畲族医药（痧症疗法）,新增项目,浙江省丽水市,丽水市文化馆（挂丽水大剧院管理中心、丽水市非物质文化遗产保护中心、丽水市美术馆牌子）
3094,畲族医药（六神经络骨通药制作工艺）,新增项目,福建省罗源县,福建省罗源县文化馆
3095,瑶族医药（药浴疗法）,新增项目,贵州省从江县,从江县非物质文化遗产保护中心
3096,苗医药（骨伤蛇伤疗法）,新增项目,贵州省雷山县,雷山县非物质文化遗产保护中心
3097,苗医药（九节茶药制作工艺）,新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州民族医药研究院（黔东南苗族侗族自治州苗医苗药研究院、黔东南苗族侗族自治州民族医药研究院附属苗医医院）
3098,苗医药（癫痫症疗法）,扩展项目,湖南省凤凰县,凤凰县非物质文化遗产保护中心
3099,苗医药（钻节风疗法）,扩展项目,湖南省花垣县,湘西青山苗族医学文化有限公司
3100,苗医药（骨髓骨伤药膏）,扩展项目,贵州省黔东南苗族侗族自治州麻江县,麻江县非物质文化遗产保护中心
3101,侗医药（过路黄药制作工艺）,新增项目,贵州省黔东南苗族侗族自治州,黔东南苗族侗族自治州民族医药研究院（黔东南苗族侗族自治州苗医苗药研究院、黔东南苗族侗族自治州民族医药研究院附属苗医医院）
3102,回族医药（张氏回医正骨疗法）,新增项目,宁夏回族自治区吴忠市,吴忠市利通区张氏正骨医院
3103,回族医药（回族汤瓶八诊疗法）,新增项目,宁夏回族自治区银川市,宁夏汤瓶八诊文化产业发展有限公司
3104,回族医药（陈氏回族医技十法）,扩展项目,宁夏回族自治区吴忠市,宁夏伊康回族医药研究所（有限公司）
3105,壮医药（壮医药线点灸疗法）,新增项目,广西中医学院,广西中医药大学
3106,彝医药（彝医水膏药疗法）,新增项目,云南省楚雄彝族自治州,楚雄彝族自治州彝族医药研究院（云南省彝族医药研究所）
3107,彝医药（拨云锭制作技艺）,扩展项目,云南省楚雄市,楚雄老拨云堂药业有限公司
3108,傣医药（睡药疗法）,新增项目,云南省西双版纳傣族自治州,西双版纳傣族自治州民族医药研究所（西双版纳傣族自治州傣医医院）
3109,傣医药（睡药疗法）,新增项目,云南省德宏傣族景颇族自治州,德宏州中医医院（德宏州傣医医院、德宏州第二人民医院、德宏州民族医药研究所）
3110,维吾尔医药（维药传统炮制技艺）,新增项目,新疆维吾尔医学高等专科学校,新疆维吾尔医学专科学校
3111,维吾尔医药（木尼孜其·木斯力汤药制作技艺）,新增项目,新疆维吾尔自治区和田地区,和田地区维吾尔医医院
3112,维吾尔医药（食物疗法）,新增项目,新疆维吾尔自治区莎车县,莎车县维吾尔医医院
3113,维吾尔医药（库西台法）,新增项目,新疆维吾尔自治区维吾尔医药研究所,新疆维吾尔自治区维吾尔医药研究所
3114,维吾尔医药（沙疗）,扩展项目,新疆维吾尔自治区吐鲁番市,吐鲁番市维吾尔医医院
3115,维吾尔医药（和田药茶制作技艺）,扩展项目,新疆维吾尔自治区和田地区策勒县,策勒县文化馆
3116,布依族医药（益肝草制作技艺） ,新增项目,贵州省贵定县,贵定县文物保护站（贵定县非物质文化遗产保护中心）
3117,哈萨克族医药（布拉吾药浴熏蒸疗法、卧塔什正骨术、冻伤疗法） ,新增项目,新疆维吾尔自治区阿勒泰地区,新疆阿勒泰地区哈萨克医医院
3118,春节,新增项目,文化部,文化和旅游部
3119,春节（怀仁旺火习俗）,扩展项目,山西省怀仁县,怀仁市文化馆
3120,春节（查干萨日）,扩展项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县文化工作总站（前郭县非物质文化遗产保护中心）
3121,春节（娘子关跑马排春节习俗）,扩展项目,山西省阳泉市平定县,平定县娘子关镇下董寨村村民委员会
3122,春节（行花街）,扩展项目,广东省广州市越秀区,广州市越秀区文化馆（广州市越秀区非物质文化遗产保护中心）
3123,春节（六盘山区春官送福）,扩展项目,宁夏回族自治区固原市西吉县,西吉县文化馆
3124,清明节,新增项目,文化部,文化和旅游部
3125,清明节（溱潼会船）,扩展项目,江苏省姜堰市,泰州市姜堰区文化馆
3126,清明节（介休寒食清明习俗）,扩展项目,山西省介休市,介休市文化馆
3127,清明节（茅山会船）,扩展项目,江苏省兴化市,兴化市关注文化传播中心
3128,端午节,新增项目,文化部,文化和旅游部
3129,端午节（屈原故里端午习俗）,新增项目,湖北省宜昌市,宜昌市群众艺术馆（宜昌市非物质文化遗产保护中心）
3130,端午节（屈原故里端午习俗）,新增项目,湖北省秭归县,秭归县文化馆（县非物质文化遗产保护中心）
3131,端午节（西塞神舟会）,新增项目,湖北省黄石市,黄石市群众艺术馆
3132,端午节（汨罗江畔端午习俗）,新增项目,湖南省汨罗市,汨罗市文化馆
3133,端午节（苏州端午习俗）,新增项目,江苏省苏州市,苏州市姑苏区文化馆
3134,端午节（罗店划龙船习俗）,扩展项目,上海市宝山区,上海市宝山区罗店镇社会事务服务中心（上海市宝山区罗店镇社区文化活动中心）
3135,端午节（五常龙舟胜会）,扩展项目,浙江省杭州市余杭区,杭州市余杭区五常龙舟俱乐部
3136,端午节（安海嗦啰嗹习俗）,扩展项目,福建省晋江市,晋江市文化馆
3137,端午节（五大连池药泉会）,扩展项目,黑龙江省黑河市,五大连池风景名胜区自然保护区管委会文化体育局
3138,端午节（嘉兴端午习俗）,扩展项目,浙江省嘉兴市,嘉兴市文化馆（嘉兴市非物质文化遗产保护中心）
3139,端午节（蒋村龙舟胜会）,扩展项目,浙江省杭州市西湖区,杭州市西湖区蒋村龙舟协会
3140,端午节（石狮端午闽台对渡习俗）,扩展项目,福建省石狮市,石狮市文化馆
3141,端午节（大澳龙舟游涌）,扩展项目,香港特别行政区,香港大澳传统龙舟协会
3142,端午节（泽林旱龙舟）,扩展项目,湖北省鄂州市,鄂州市群众艺术馆
3143,端午节（道州龙船习俗）,扩展项目,湖南省永州市道县,道县文化馆
3144,七夕节,新增项目,文化部,文化和旅游部
3145,七夕节（乞巧节）,扩展项目,甘肃省西和县,西和县非物质文化遗产保护中心
3146,七夕节（石塘七夕习俗）,扩展项目,浙江省温岭市,温岭市石塘镇东海村股份经济合作社
3147,七夕节（天河乞巧习俗）,扩展项目,广东省广州市天河区,广州市天河区文化馆
3148,七夕节（郧西七夕）,扩展项目,湖北省郧西县,郧西县七夕文化传承中心
3149,中秋节,新增项目,文化部,文化和旅游部
3150,中秋节（中秋博饼）,扩展项目,福建省厦门市,厦门市中秋民俗文化研究会
3151,中秋节（佛山秋色）,扩展项目,广东省佛山市,佛山市民间艺术研究社有限公司
3152,中秋节（泽州中秋习俗）,扩展项目,山西省泽州县,泽州县民间习俗研究会
3153,中秋节（秋夕）,扩展项目,吉林省延边朝鲜族自治州,延边文化艺术研究中心（延边非物质文化遗产保护中心）
3154,中秋节（大坑舞火龙）,扩展项目,香港特别行政区,大坑坊众福利会
3155,中秋节（朝鲜族秋夕节）,扩展项目,辽宁省铁岭市,铁岭市朝鲜族文化艺术馆
3156,中秋节（吉安中秋烧塔习俗）,扩展项目,江西省安福县,安福县文化馆
3157,重阳节,新增项目,文化部,文化和旅游部
3158,重阳节（皇城村重阳习俗）,扩展项目,山西省阳城县,阳城县皇城民俗文化研究中心
3159,重阳节（上蔡重阳习俗）,扩展项目,河南省上蔡县,上蔡县人民文化馆
3160,京族哈节,新增项目,广西壮族自治区东兴市,东兴市文化馆
3161,傣族泼水节,新增项目,云南省西双版纳傣族自治州,西双版纳傣族自治州文化馆
3162,傣族泼水节,扩展项目,云南省德宏傣族景颇族自治州,德宏州文化馆
3163,锡伯族西迁节,新增项目,新疆维吾尔自治区察布查尔锡伯自治县,察布查尔锡伯自治县文化馆
3164,火把节（彝族火把节）,新增项目,四川省凉山彝族自治州,凉山彝族自治州非物质文化遗产保护中心
3165,火把节（彝族火把节）,新增项目,云南省楚雄彝族自治州,楚雄彝族自治州非物质文化遗产保护中心
3166,火把节（彝族火把节）,扩展项目,贵州省赫章县,赫章县文化馆
3167,景颇族目瑙纵歌,新增项目,云南省陇川县,陇川县文化馆
3168,黎族三月三节,新增项目,海南省五指山市,五指山市文化馆
3169,三月三（壮族三月三）,扩展项目,广西壮族自治区武鸣县,南宁市武鸣区文化馆
3170,三月三（报京三月三）,扩展项目,贵州省镇远县,镇远县非物质文化遗产保护中心
3171,鄂伦春族古伦木沓节,新增项目,黑龙江省,黑河市爱辉区文化馆
3172,瑶族盘王节,新增项目,广东省韶关市,乳源瑶族自治县非物质文化遗产保护中心（乳源瑶族自治县民族文化研究中心）
3173,瑶族盘王节,新增项目,广西壮族自治区贺州市,贺州市群众艺术馆
3174,瑶族盘王节（还盘王愿）,扩展项目,湖南省郴州市资兴市,资兴市文化馆
3175,壮族蚂虫另节,新增项目,广西壮族自治区河池市,河池市非物质文化遗产保护中心
3176,仫佬族依饭节,新增项目,广西壮族自治区罗城仫佬族自治县,罗城仫佬族自治县文化馆
3177,毛南族肥套,新增项目,广西壮族自治区环江毛南族自治县,环江毛南族自治县非物质文化遗产保护传承中心
3178,羌族瓦尔俄足节,新增项目,四川省阿坝藏族羌族自治州,茂县文化馆
3179,苗族鼓藏节,新增项目,贵州省雷山县,雷山县非物质文化遗产保护中心
3180,苗族鼓藏节,扩展项目,贵州省榕江县,榕江县非物质文化遗产保护中心
3181,水族端节,新增项目,贵州省三都水族自治县,三都水族自治县非物质文化遗产保护中心
3182,布依族查白歌节,新增项目,贵州省,兴义市文化馆
3183,苗族姊妹节,新增项目,贵州省台江县,台江县非物质文化遗产保护中心
3184,独龙族卡雀哇节,新增项目,云南省贡山独龙族怒族自治县,贡山独龙族怒族自治县文化馆
3185,怒族仙女节,新增项目,云南省贡山独龙族怒族自治县,贡山独龙族怒族自治县文化馆
3186,侗族萨玛节,新增项目,贵州省榕江县,榕江县非物质文化遗产保护中心
3187,侗族萨玛节,扩展项目,贵州省黎平县,黎平县非物质文化遗产保护中心
3188,仡佬毛龙节,新增项目,贵州省石阡县,石阡县文化馆
3189,傈僳族刀杆节,新增项目,云南省泸水县,泸水市文化馆
3190,塔吉克族引水节和播种节,新增项目,新疆维吾尔自治区塔什库尔干塔吉克自治县,新疆塔什库尔干塔吉克自治县文化馆
3191,土族纳顿节,新增项目,青海省民和回族土族自治县,民和回族土族自治县文化馆
3192,都江堰放水节,新增项目,四川省都江堰市,都江堰市文化馆
3193,雪顿节,新增项目,西藏自治区,西藏自治区文化厅
3194,黄帝陵祭典,新增项目,陕西省黄陵县,黄陵县非物质文化遗产办公室
3195,黄帝祭典（新郑黄帝拜祖祭典）,扩展项目,河南省新郑市,新郑市文化馆
3196,黄帝祭典（缙云轩辕祭典）,扩展项目,浙江省缙云县,缙云县仙都旅游文化产业有限公司
3197,炎帝陵祭典,新增项目,湖南省炎陵县,炎陵县文化馆（炎陵县非物质文化遗产保护中心）
3198,炎帝祭典,扩展项目,陕西省宝鸡市,宝鸡市渭滨区文化馆
3199,炎帝祭典（随州神农祭典）,扩展项目,湖北省随州市,随县文化馆（随县非物质文化遗产保护中心）
3200,成吉思汗祭典,新增项目,内蒙古自治区鄂尔多斯市,鄂尔多斯市成吉思汗陵旅游区管理委员会（鄂尔多斯市成吉思汗陵园管理局）
3201,祭孔大典,新增项目,山东省曲阜市,曲阜市公共文化服务中心（曲阜市文化馆、曲阜市图书馆、曲阜市非物质文化遗产保护中心）
3202,祭孔大典（南孔祭典）,扩展项目,浙江省衢州市,衢州南孔圣地文化旅游区管理中心
3203,妈祖祭典,新增项目,福建省莆田市,莆田市湄洲妈祖祖庙董事会
3204,妈祖祭典,新增项目,中华妈祖文化交流协会,中华妈祖文化交流协会
3205,妈祖祭典（天津皇会）,扩展项目,天津市民俗博物馆,天津市民俗博物馆
3206,妈祖祭典（洞头妈祖祭典）,扩展项目,浙江省洞头县,温州市洞头区妈祖文化交流协会
3207,妈祖祭典（葛沽宝辇会）,扩展项目,天津市津南区,天津市津南区文化馆（天津市津南区文化遗产保护中心）
3208,妈祖祭典（海口天后祀奉）,扩展项目,海南省海口市,海口市妈祖文化交流协会
3209,妈祖祭典（澳门妈祖信俗）,扩展项目,澳门特别行政区,澳门妈阁水陆演戏会
3210,妈祖祭典（香港天后诞）,扩展项目,香港特别行政区,香港天后诞协会
3211,太昊伏羲祭典,新增项目,河南省淮阳县,淮阳县文化馆
3212,太昊伏羲祭典,新增项目,甘肃省天水市,天水市博物馆（天水市伏羲庙管理局）
3213,太昊伏羲祭典（新乐伏羲祭典）,扩展项目,河北省新乐市,新乐市文化馆
3214,女娲祭典,新增项目,河北省涉县,涉县文化馆
3215,女娲祭典（秦安女娲祭典）,扩展项目,甘肃省秦安县,秦安县文化馆
3216,大禹祭典,新增项目,浙江省绍兴市,绍兴大禹开发投资有限公司
3217,祭敖包,新增项目,内蒙古自治区锡林郭勒盟,锡林郭勒盟文化馆（锡林郭勒盟非物质文化遗产保护中心）
3218,祭敖包（达斡尔族沃其贝）,扩展项目,新疆维吾尔自治区塔城市,塔城市文化馆
3219,白族绕三灵,新增项目,云南省大理白族自治州,大理白族自治州非物质文化遗产保护中心
3220,厂甸庙会,新增项目,北京市宣武区,北京市西城区非物质文化遗产保护中心
3221,热贡六月会,新增项目,青海省同仁县,同仁县文体旅游广电局（同仁县文物局、同仁县热贡艺术传承保护管理局）
3222,小榄菊花会,新增项目,广东省中山市,中山市小榄菊花文化促进会
3223,瑶族耍歌堂,新增项目,广东省清远市,连南瑶族自治县文化馆
3224,壮族歌圩,新增项目,广西壮族自治区南宁市,南宁市民族文化艺术研究院（南宁市戏剧院、南宁市非物质文化遗产保护中心）
3225,苗族系列坡会群,新增项目,广西壮族自治区融水苗族自治县,融水苗族自治县文化馆
3226,那达慕,新增项目,内蒙古自治区锡林郭勒盟,锡林郭勒盟文化馆（锡林郭勒盟非物质文化遗产保护中心）
3227,那达慕,扩展项目,青海省海西蒙古族藏族自治州,海西州文化馆（海西州非物质文化遗产传承保护中心、 海西州民族文化体育活动中心）
3228,那达慕,扩展项目,新疆维吾尔自治区和静县,和静县东归文化馆
3229,维吾尔刀郎麦西热甫,新增项目,新疆维吾尔自治区麦盖提县,麦盖提县文化馆
3230,新疆维吾尔族麦西热甫（新疆维吾尔刀郎麦西热甫）,扩展项目,新疆维吾尔自治区阿瓦提县,阿瓦提县文化馆
3231,新疆维吾尔族麦西热甫（维吾尔族却日库木麦西热甫）,扩展项目,新疆维吾尔自治区阿克苏市,阿克苏市文化馆
3232,新疆维吾尔族麦西热甫（维吾尔族塔合麦西热甫）,扩展项目,新疆维吾尔自治区木垒哈萨克自治县,木垒哈萨克自治县文化馆
3233,新疆维吾尔族麦西热甫（维吾尔族阔克麦西热甫）,扩展项目,新疆维吾尔自治区哈密市,哈密市伊州区文化馆
3234,秦淮灯会,新增项目,江苏省南京市,南京市秦淮区文化馆
3235,秀山花灯,新增项目,重庆市秀山土家族苗族自治县,秀山土家族苗族自治县文化馆
3236,全丰花灯,新增项目,江西省修水县,修水县红色基因与文化传承发展中心
3237,泰山石敢当习俗,新增项目,山东省泰安市,泰安市泰山风景名胜区管理委员会(泰山林场）
3238,民间社火,新增项目,山西省潞城县,长治市潞城区民间赛社文化研究会
3239,民间社火,新增项目,陕西省宝鸡市,宝鸡市群众艺术馆（宝鸡市非物质文化遗产保护中心）
3240,民间社火（桃林坪花脸社火）,扩展项目,河北省井陉县,井陉县文化馆
3241,民间社火（永年抬花桌）,扩展项目,河北省永年县,邯郸市永年区文化馆
3242,民间社火（本溪社火）,扩展项目,辽宁省本溪满族自治县,本溪满族自治县文化事业发展服务中心
3243,民间社火（义县社火）,扩展项目,辽宁省义县,义县文化旅游发展服务中心
3244,民间社火（朝阳社火）,扩展项目,辽宁省朝阳县,朝阳县文化旅游和教育事业服务中心
3245,民间社火（浚县民间社火）,扩展项目,河南省浚县,浚县人民文化馆
3246,民间社火（洋县悬台社火）,扩展项目,陕西省洋县,洋县文化馆
3247,民间社火（南庄无根架火）,扩展项目,山西省晋中市榆次区,榆次南庄宏义架火美术工艺厂
3248,民间社火（高要春社）,扩展项目,广东省肇庆市高要区,肇庆市高要区文化馆（肇庆市高要区非物质文化遗产保护中心）
3249,民间社火（新疆社火）,扩展项目,新疆维吾尔自治区昌吉回族自治州,昌吉回族自治州文化馆
3250,鄂尔多斯婚礼,新增项目,内蒙古自治区鄂尔多斯市,鄂尔多斯市文化艺术创作研究院（鄂尔多斯市非物质文化遗产保护中心）
3251,蒙古族婚礼（阿日奔苏木婚礼）,扩展项目,内蒙古自治区阿鲁科尔沁旗,阿鲁科尔沁旗文化馆
3252,蒙古族婚礼（乌珠穆沁婚礼）,扩展项目,内蒙古自治区西乌珠穆沁旗,西乌珠穆沁旗文化旅游事业发展中心
3253,蒙古族婚礼（蒙古族婚俗）,扩展项目,吉林省前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县草原文化馆
3254,土族婚礼,新增项目,青海省互助土族自治县,互助土族自治县文化馆
3255,撒拉族婚礼,新增项目,青海省循化撒拉族自治县,循化撒拉族自治县文化馆
3256,马街书会,新增项目,河南省宝丰县,宝丰县人民文化馆
3257,胡集书会,新增项目,山东省惠民县,惠民县文化馆（惠民县非物质文化遗产保护中心）
3258,安国药市,新增项目,河北省安国市,安国市文化馆（安国市美术馆）
3259,药市习俗（樟树药俗）,扩展项目,江西省樟树市,樟树市药俗研究协会
3260,药市习俗（百泉药会）,扩展项目,河南省辉县市,辉县市文化馆
3261,药市习俗（禹州药会）,扩展项目,河南省禹州市,禹州市非物质文化遗产保护中心
3262,壮族铜鼓习俗,新增项目,广西壮族自治区河池市,河池市非物质文化遗产保护中心
3263,楹联习俗,新增项目,中国楹联学会,中国楹联学会
3264,苏州甪直水乡妇女服饰,新增项目,江苏省苏州市,苏州市吴中区甪直镇文体教育服务中心（苏州市吴中区甪直镇党校）
3265,惠安女服饰,新增项目,福建省惠安县,惠安县文化馆
3266,苗族服饰（昌宁苗族服饰）,新增项目,云南省保山市,昌宁县文化馆
3267,苗族服饰,扩展项目,湖南省湘西土家族苗族自治州,湘西自治州毕果民族服饰研制中心
3268,苗族服饰,扩展项目,贵州省桐梓县,桐梓县文化馆
3269,苗族服饰,扩展项目,贵州省安顺市西秀区,安顺市西秀区文化馆
3270,苗族服饰,扩展项目,贵州省关岭布依族苗族自治县,关岭布依族苗族自治县文化馆
3271,苗族服饰,扩展项目,贵州省纳雍县,纳雍县文物（非物质文化）管理所
3272,苗族服饰,扩展项目,贵州省剑河县,剑河县非物质文化遗产保护中心
3273,苗族服饰,扩展项目,贵州省台江县,台江县非物质文化遗产保护中心
3274,苗族服饰,扩展项目,贵州省榕江县,榕江县非物质文化遗产保护中心
3275,苗族服饰,扩展项目,贵州省六盘水市六枝特区,六技特区文化馆
3276,苗族服饰,扩展项目,贵州省丹寨县,丹寨县非物质文化遗产保护中心
3277,回族服饰,新增项目,宁夏回族自治区,吴忠市文化馆
3278,瑶族服饰,新增项目,广西壮族自治区南丹县,南丹县非物质文化遗产保护传承中心
3279,瑶族服饰,新增项目,广西壮族自治区贺州市,贺州市群众艺术馆
3280,瑶族服饰,扩展项目,广西壮族自治区龙胜各族自治县,龙胜各族自治县文化馆
3281,农历二十四节气,新增项目,中国农业博物馆,中国农业博物馆
3282,农历二十四节气（九华立春祭）,扩展项目,浙江省衢州市柯城区,衢州市柯城区文化馆
3283,农历二十四节气（班春劝农）,扩展项目,浙江省遂昌县,遂昌县非物质文化遗产保护中心
3284,农历二十四节气（石阡说春）,扩展项目,贵州省石阡县,石阡县文化馆
3285,农历二十四节气（三门祭冬）,扩展项目,浙江省三门县,三门县非物质文化遗产保护中心
3286,农历二十四节气（安仁赶分社） ,扩展项目,湖南省安仁县,安仁县文化馆（非物质文化遗产保护中心）
3287,农历二十四节气（苗族赶秋）,扩展项目,湖南省花垣县,花垣县非物质文化遗产保护中心
3288,农历二十四节气（壮族霜降节） ,扩展项目,广西壮族自治区天等县,天等县文化馆
3289,农历二十四节气（半山立夏习俗）,扩展项目,浙江省杭州市拱墅区,杭州市拱墅区皋亭文化研究会
3290,农历二十四节气（送大暑船）,扩展项目,浙江省台州市椒江区,台州市椒江区送大暑船保护中心
3291,农历二十四节气（梅源芒种开犁节）,扩展项目,浙江省丽水市云和县,云和县非物质文化遗产保护中心
3292,农历二十四节气（内乡打春牛习俗）,扩展项目,河南省南阳市内乡县,内乡县县衙博物馆
3293,女书习俗,新增项目,湖南省江永县,江永县文化遗产保护中心
3294,水书习俗,新增项目,贵州省黔南布依族苗族自治州,黔南布依族苗族自治州非物质文化遗产保护中心（黔南布依族苗族自治州文化艺术研究所）
3295,元宵节,新增项目,文化部,文化和旅游部
3296,元宵节（敛巧饭习俗）,新增项目,北京市怀柔区,北京怀柔云蒙山书画院
3297,元宵节（九曲黄河阵灯俗）,新增项目,北京市密云县,北京市密云区文化馆
3298,元宵节（柳林盘子会）,新增项目,山西省柳林县,柳林县文化馆（柳林县美术馆）
3299,元宵节（蔚县拜灯山习俗）,新增项目,河北省蔚县,蔚县文化馆
3300,元宵节（马尾-马祖元宵节俗）,新增项目,福建省福州市马尾区,福州市马尾区文化馆（马江剧院），马祖经贸文化交流联谊会
3301,元宵节（泉州闹元宵习俗）,新增项目,福建省泉州市,泉州市艺术馆（泉州市闽南文化生态保护中心、泉州市非物质文化遗产保护中心）
3302,元宵节（闽台东石灯俗）,新增项目,福建省晋江市,晋江市文化馆
3303,元宵节（枫亭元宵游灯习俗）,新增项目,福建省仙游县,仙游县枫亭元宵游灯民俗学会
3304,元宵节（闽西客家元宵节庆）,新增项目,福建省连城县,连城县文化馆
3305,元宵节（永昌县卍字灯俗）,新增项目,甘肃省永昌县,永昌县文化馆
3306,元宵节（九曲黄河灯俗）,新增项目,青海省乐都县,海东市乐都区文化馆
3307,元宵节（豫园灯会）,扩展项目,上海市黄浦区,上海豫园旅游商城股份有限公司
3308,元宵节（上坂关公灯）,扩展项目,江西省南昌市湾里区,南昌市湾里管理局文化旅游产业发展服务中心（南昌市湾里管理局非物质文化遗产研究保护中心）
3309,元宵节（千军台庄户幡会）,扩展项目,北京市门头沟区,北京市门头沟区大台地区文化遗产保护协会
3310,元宵节（抡花）,扩展项目,河北省滦平县,滦平县非物质文化遗产保护中心
3311,元宵节（河上龙灯胜会） ,扩展项目,浙江省杭州市萧山区,杭州市萧山区河上龙灯胜会协会
3312,元宵节（前童元宵行会）,扩展项目,浙江省宁海县,宁海县文化馆
3313,元宵节（淄博花灯会） ,扩展项目,山东省淄博市张店区,淄博市张店区文化馆（淄博市张店区书画院、淄博市张店区美术馆）
3314,元宵节（彬县灯山会） ,扩展项目,陕西省彬县,彬州市文化馆
3315,元宵节（辽西朱碌科黄河阵）,扩展项目,辽宁省朝阳市,建平县文旅体育和广播电视技术保障服务中心（建平县文物考古研究所）
3316,元宵节（瑷珲上元节）,扩展项目,黑龙江省黑河市爱辉区,黑河市爱辉区文化馆
3317,元宵节（赣南客家唱船习俗）,扩展项目,江西省赣州市南康区,赣州市南康区文化馆（赣州市南康区非物质文化遗产研究保护中心）
3318,元宵节（百节龙习俗）,扩展项目,湖北省鄂州市,鄂州市临空经济区民俗文化博物馆
3319,元宵节（德江炸龙习俗）,扩展项目,贵州省铜仁市德江县,德江县文化遗产保护中心
3320,元宵节（苗族舞龙嘘花习俗）,扩展项目,贵州省黔东南苗族侗族自治州台江县,台江县非物质文化遗产保护中心
3321,元宵节（东山转灯）,扩展项目,甘肃省甘南藏族自治州舟曲县,舟曲县文化馆
