Unnamed: 0,名称,类别,类型,申报单位,保护单位,Longitude,Latitude,Converted_Longitude,Converted_Latitude
2699,绿茶制作技艺（都匀毛尖茶制作技艺） ,传统技艺,扩展项目,贵州省都匀市 ,都匀市文物保护研究中心,107.5254044,26.26611796,107.5148259,26.26323362
2700,绿茶制作技艺（雨花茶制作技艺）,传统技艺,扩展项目,江苏省南京市,南京盛峰茶业有限公司,118.8540744,32.04383561,118.8424209,32.04028115
2701,绿茶制作技艺（蒙山茶传统制作技艺）,传统技艺,扩展项目,四川省雅安市,雅安市名山区非物质文化遗产保护中心,103.1154858,30.07591366,103.106894,30.07241667
2702,红茶制作技艺（祁门红茶制作技艺）,传统技艺,新增项目,安徽省祁门县,祁门县祁门红茶协会,117.7039268,29.85782331,117.6921843,29.85424437
2703,红茶制作技艺（滇红茶制作技艺） ,传统技艺,扩展项目,云南省凤庆县 ,云南滇红集团股份有限公司,99.96460896,24.56990301,99.957255,24.56672518
2704,红茶制作技艺（坦洋工夫茶制作技艺）,传统技艺,扩展项目,福建省宁德市福安市,福安市茶业协会,119.6544064,27.09432351,119.6434501,27.09142331
2705,红茶制作技艺（宁红茶制作技艺）,传统技艺,扩展项目,江西省九江市修水县,江西省宁红有限责任公司,116.0162346,29.72255873,116.0046283,29.71907974
2706,乌龙茶制作技艺（铁观音制作技艺）,传统技艺,新增项目,福建省安溪县,安溪县茶文化研究中心,118.1924254,25.06175955,118.1811518,25.05823402
2707,乌龙茶制作技艺（漳平水仙茶制作技艺）,传统技艺,扩展项目,福建省龙岩市,漳平市文化馆,117.4265563,25.2957435,117.4148121,25.29271858
2708,普洱茶制作技艺（贡茶制作技艺）,传统技艺,新增项目,云南省宁洱哈尼族彝族自治县,宁洱哈尼族彝族自治县文化馆,101.053265,23.07129543,101.0453399,23.06767667
2709,普洱茶制作技艺（大益茶制作技艺）,传统技艺,新增项目,云南省勐海县,勐海茶厂（普通合伙）,102.7277855,24.99195827,102.7198854,24.98861482
2710,黑茶制作技艺（千两茶制作技艺）,传统技艺,新增项目,湖南省安化县,安化县文化馆,111.2255702,28.38222552,111.2136929,28.37941519
2711,黑茶制作技艺（茯砖茶制作技艺）,传统技艺,新增项目,湖南省益阳市,益阳茶厂有限公司,112.4083703,28.55581644,112.3960903,28.5530667
2712,黑茶制作技艺（南路边茶制作技艺）,传统技艺,新增项目,四川省雅安市,雅安市非物质文化遗产和茶马古道研究保护中心,103.0495426,30.01679255,103.0410186,30.01348006
2713,黑茶制作技艺（下关沱茶制作技艺）,传统技艺,扩展项目,云南省大理白族自治州,云南下关沱茶（集团）股份有限公司,103.705636,30.51585074,103.6969811,30.51236538
2714, 黑茶制作技艺（赵李桥砖茶制作技艺）,传统技艺,扩展项目,湖北省赤壁市,湖北省赵李桥茶厂有限责任公司,113.728061,29.57191649,113.7158216,29.56868665
2715, 黑茶制作技艺（六堡茶制作技艺）,传统技艺,扩展项目,广西壮族自治区苍梧县 ,苍梧县文化馆,111.5527278,23.87275327,111.5410599,23.86987146
2716,黑茶制作技艺（长盛川青砖茶制作技艺）,传统技艺,扩展项目,湖北省宜昌市伍家岗区,鑫鼎生物科技有限公司,111.4013193,30.67365242,111.3888912,30.67002666
2717,黑茶制作技艺（咸阳茯茶制作技艺）,传统技艺,扩展项目,陕西省咸阳市,咸阳市群众艺术馆,108.6602916,34.41841151,108.6491735,34.41422349
2718,晒盐技艺（海盐晒制技艺）,传统技艺,新增项目,浙江省象山县,宁波信丰泰盐业科技有限公司,121.5264707,29.8815245,121.5156814,29.87821608
2719,晒盐技艺（海盐晒制技艺）,传统技艺,新增项目,海南省儋州市,儋州市文化馆,109.5875453,19.5289986,109.5770806,19.52482806
2720,晒盐技艺（井盐晒制技艺）,传统技艺,新增项目,西藏自治区芒康县,西藏自治区昌都市芒康县文化局,98.59968548,29.68577612,98.59286578,29.68296501
2721,晒盐技艺（淮盐制作技艺） ,传统技艺,扩展项目,江苏省连云港市,连云港市工业投资集团有限公司,119.1865481,34.60138584,119.174472,34.59617554
2722,晒盐技艺（卤水制盐技艺） ,传统技艺,扩展项目,山东省寿光市 ,山东夙沙生态发展有限公司,118.9241425,37.25870158,118.9121925,37.25183133
2723,晒盐技艺（运城河东制盐技艺）,传统技艺,扩展项目,山西省运城市,山西焦煤运城盐化集团有限责任公司,111.0239242,35.03106089,111.0116419,35.02556997
2724,酱油酿造技艺（钱万隆酱油酿造技艺）,传统技艺,新增项目,上海市浦东新区,上海钱万隆酿造厂,121.4805389,31.23592904,121.4694778,31.23194382
2725,酱油酿造技艺（先市酱油酿造技艺） ,传统技艺,扩展项目,四川省合江县 ,合江县先市酿造食品有限公司,105.7261278,28.71242428,105.7161309,28.70941683
2726,豆瓣传统制作技艺（郫县豆瓣传统制作技艺）,传统技艺,新增项目,四川省郫县,成都市郫都区食品工业协会,103.9054457,30.79953765,103.8969205,30.79610518
2727,豆豉酿制技艺（永川豆豉酿制技艺）,传统技艺,新增项目,重庆市,重庆市永川豆豉食品有限公司,106.00459,29.38713404,105.994376,29.38407776
2728,豆豉酿制技艺（潼川豆豉酿制技艺）,传统技艺,新增项目,四川省三台县,潼川农产品开发有限责任公司,105.0949235,31.1042281,105.085016,31.1003982
2729,腐乳酿造技艺（王致和腐乳酿造技艺）,传统技艺,新增项目,北京市海淀区,北京王致和食品有限公司,116.252039,39.93339276,116.2394964,39.92626313
2730,酱菜制作技艺（六必居酱菜制作技艺）,传统技艺,新增项目,北京六必居食品有限公司,北京六必居食品有限公司,116.3784401,39.88912003,116.3657186,39.8816959
2731,榨菜传统制作技艺（涪陵榨菜传统制作技艺）,传统技艺,新增项目,重庆市涪陵区,重庆市涪陵辣妹子集团有限公司,107.4652067,29.89644211,107.4540207,29.89328656
2732,传统面食制作技艺（龙须拉面和刀削面制作技艺）,传统技艺,新增项目,山西省全晋会馆,山西全晋饮食文化有限公司,117.3777872,40.63949808,117.3646655,40.63161837
2733,传统面食制作技艺（抿尖面和猫耳朵制作技艺）,传统技艺,新增项目,山西省晋韵楼,太原清徐人家晋韵楼餐饮文化发展有限公司,112.3802765,37.59680279,112.367014,37.59027804
2734,传统面食制作技艺（天津“狗不理”包子制作技艺）,传统技艺,扩展项目,天津市和平区,狗不理集团股份有限公司,116.2281817,40.22729991,116.2154478,40.22038797
2735,传统面食制作技艺（稷山传统面点制作技艺）,传统技艺,扩展项目,山西省稷山县,稷山赵氏四味坊传统面点传习中心,110.9868407,35.60217251,110.9746635,35.5963082
2736,传统面食制作技艺（桂发祥十八街麻花制作技艺） ,传统技艺,扩展项目,天津市河西区,天津桂发祥十八街麻花食品股份有限公司,117.2532674,39.0693243,117.2406165,39.06204362
2737,传统面食制作技艺（南翔小笼馒头制作技艺） ,传统技艺,扩展项目,上海市嘉定区 ,上海南翔老街建设发展有限公司,121.3152144,31.29715714,121.3043065,31.29279692
2738,传统面食制作技艺（太谷饼制作技艺）,传统技艺,扩展项目,山西省晋中市太谷区,山西鑫炳记食业股份有限公司,112.5636688,37.42233804,112.55107,37.41552269
2739,传统面食制作技艺（李连贵熏肉大饼制作技艺）,传统技艺,扩展项目,吉林省四平市,四平李连贵饮食服务股份有限公司,124.3676344,43.18516223,124.3548509,43.17677652
2740,传统面食制作技艺（邵永丰麻饼制作技艺）,传统技艺,扩展项目,浙江省衢州市柯城区,浙江邵永丰成正食品有限公司,120.166328,30.21596719,120.1551274,30.21249156
2741,传统面食制作技艺（缙云烧饼制作技艺）,传统技艺,扩展项目,浙江省丽水市缙云县,缙云县缙云烧饼协会,120.1052373,28.77165815,120.094109,28.76839384
2742,传统面食制作技艺（老孙家羊肉泡馍制作技艺）,传统技艺,扩展项目,陕西省,西安饮食股份有限公司老孙家饭庄,108.9777196,34.22650578,108.9665376,34.22176466
2743,传统面食制作技艺（西安贾三灌汤包子制作技艺）,传统技艺,扩展项目,陕西省,西安贾三清真灌汤包子馆,108.945878,34.26941901,108.9347815,34.26485697
2744,传统面食制作技艺（兰州牛肉面制作技艺）,传统技艺,扩展项目,甘肃省兰州市,兰州市文化馆,103.8405212,36.06723469,103.8315961,36.0616269
2745,传统面食制作技艺（中宁蒿子面制作技艺）,传统技艺,扩展项目,宁夏回族自治区中卫市中宁县,中宁县文化馆,105.6811801,37.5109774,105.6705725,37.50477913
2746,传统面食制作技艺（馕制作技艺）,传统技艺,扩展项目,新疆维吾尔自治区,新疆维吾尔自治区艺术研究所（新疆维吾尔自治区非物质文化遗产保护研究中心）,87.61915799,43.79617115,87.60992592,43.7887459
